Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_RA3400AA	FH124	SRR8733903;ILLUMINA;Paired;;SRX5526693	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104393	SRS4493253	2020-05-01	2020-04-10	ESC_RA3400AA	O15	H4	93	ST168 Cplx	A	ND	Assembled	135	106671	5073289	Escherichia coli / Shigella;98.98%	136	48805	4.1	ESC_KB9704AA_AS	153658	136230	136230	136230	136230	136230	136230	136230	21738	21738	3609	13	5	2	1	A	A	Unknown	-	-	-	-	-	-	-	-	146173	Escherichia coli
ESC_ZA0412AA	FH125	traces-0qZdxWe;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-07	2023-04-14	ESC_ZA0412AA	-	H30	10	ST10 Cplx	A	ND	Assembled	96	186222	4935970	Escherichia coli / Shigella;96.55%	118	52304	4.1	ESC_CC8015AA_AS	221952	193818	193818	193818	193818	193818	193812	193812	2256	2256	13	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	-133412	ND
ESC_RA3378AA	FH126	SRR8733881;ILLUMINA;Paired;;SRX5526715	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104394	SRS4493275	2020-05-01	2020-04-10	ESC_RA3378AA	O1	H7	95	ST95 Cplx	B2	ND	Assembled	170	266103	5201102	Escherichia coli / Shigella;98.49%	104	24636	4.1	ESC_KB9726AA_AS	153633	136220	136220	136213	136213	136213	2245	2245	2245	1592	44	44	44	1	1	B2	B2	fimH30	-	-	-	-	-	-	-	-	2178	Escherichia coli
ESC_RA3379AA	FH127	SRR8733882;ILLUMINA;Paired;;SRX5526714	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104395	SRS4493274	2020-05-01	2020-04-10	ESC_RA3379AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	170	204007	5372767	Escherichia coli / Shigella;98.21%	165	29004	4.1	ESC_KB9725AA_AS	153631	136217	136217	136217	4252	4252	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_AB1187AA	FH128	traces-0pqSDok;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-16	2023-06-23	ESC_AB1187AA	O1	H7	95	ST95 Cplx	B2	ND	Assembled	72	263380	5026220	Escherichia coli / Shigella;98.63%	103	29014	4.1	ESC_DC5495AA_AS	228141	136213	136213	136213	136213	136213	2245	2245	2245	1592	44	44	44	1	1	B2	B2	fimH30	-	-	-	-	-	-	-	-	2178	Escherichia coli
ESC_RA3407AA	FH13	SRR8733910;ILLUMINA;Paired;;SRX5526686	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104349	SRS4493246	2020-05-01	2020-04-10	ESC_RA3407AA	O116	H16	1818	ND	AxB1	ND	Assembled	115	81577	5308002	Escherichia coli / Shigella;96.76%	291	87806	4.1	ESC_KB9697AA_AS	153656	136233	136233	136233	136233	136233	136233	136233	136233	136233	3593	3593	5	2	1	A	A	fimH86	-	-	-	-	-	-	-	-	33377	Escherichia/Shigella sp.
ESC_ZA0346AA	FH130	traces-0TIXfNi;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-06	2023-04-13	ESC_ZA0346AA	O85	H31	803	ND	ND	ND	Assembled	107	198799	4968968	Escherichia coli / Shigella;98.85%	135	25373	4.1	ESC_CC7946AA_AS	221893	193761	193761	193761	193761	193761	193761	193761	193761	193761	7529	3328	1181	1	1	B2	B2	fimH88	E. coli - EPEC	-	-	-	-	-	-	+	1715	Escherichia/Shigella sp.
ESC_AB0994AA	FH131	traces-0xzOUgt;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0994AA	O154	H8	101	ST101 Cplx	B1	ND	Assembled	87	210164	5200746	Escherichia coli / Shigella;95.79%	129	73731	4.1	ESC_DC5448AA_AS	228097	199446	199446	199446	199446	199446	199446	199446	2304	164	164	80	5	2	1	B1	B1	fimH86	-	-	-	-	-	-	-	-	1589	Escherichia coli
ESC_RA3370AA	FH132	SRR8733873;ILLUMINA;Paired;;SRX5526723	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104397	SRS4493283	2020-05-01	2020-04-10	ESC_RA3370AA	O1	H7	95	ST95 Cplx	B2	ND	Assembled	145	266325	5030552	Escherichia coli / Shigella;97.1%	109	21844	4.1	ESC_KB9734AA_AS	153623	136213	136213	136213	136213	136213	2245	2245	2245	1592	44	44	44	1	1	B2	B2	fimH30	-	-	-	-	-	-	-	-	2178	Escherichia coli
ESC_ZA5963AA	FH133	traces-0cFQhhT;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-09	2023-06-16	ESC_ZA5963AA	O2	H5	355	ST73 Cplx	ND	ND	Assembled	83	317277	4992663	Escherichia coli / Shigella;100.0%	82	19162	4.1	ESC_DC3848AA_AS	227184	198576	198576	136218	136218	136218	4254	4240	4240	4240	1416	1416	1416	1	1	B2	B2	fimH154	-	-	-	-	-	-	-	-	24490	Escherichia coli
ESC_RA3374AA	FH134	SRR8733877;ILLUMINA;Paired;;SRX5526719	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104398	SRS4493279	2020-05-01	2020-04-10	ESC_RA3374AA	O2	H5	355	ST73 Cplx	ND	ND	Assembled	159	276809	5002246	Escherichia coli / Shigella;100.0%	87	23533	4.1	ESC_KB9730AA_AS	153628	136218	136218	136218	136218	136218	4254	4240	4240	4240	1416	1416	1416	1	1	B2	B2	fimH154	-	-	-	-	-	-	-	-	24490	Escherichia coli
ESC_ZA5952AA	FH135	traces-0WhovtX;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-09	2023-06-16	ESC_ZA5952AA	O15	H4	93	ST168 Cplx	A	ND	Assembled	70	106642	5001314	Escherichia coli / Shigella;97.09%	134	23018	4.1	ESC_DC3837AA_AS	227173	198569	198569	198569	136230	136230	136230	136230	21738	21738	3609	13	5	2	1	A	A	Unknown	-	-	-	-	-	-	-	-	146173	Escherichia coli
ESC_AB0998AA	FH136	traces-0dlcXBd;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0998AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	76	232210	5352099	Escherichia coli / Shigella;98.11%	151	31794	4.1	ESC_DC5452AA_AS	228102	199449	199449	136217	4252	4252	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3375AA	FH137	SRR8733878;ILLUMINA;Paired;;SRX5526718	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104399	SRS4493278	2020-05-01	2020-04-10	ESC_RA3375AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	150	204007	5369411	Escherichia coli / Shigella;100.0%	153	29654	4.1	ESC_KB9729AA_AS	153627	136217	136217	136217	4252	4252	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3361AA	FH138	SRR8733864;ILLUMINA;Paired;;SRX5526732	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104400	SRS4493292	2020-05-01	2020-04-10	ESC_RA3361AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	188	204007	5372191	Escherichia coli / Shigella;98.23%	161	77621	4.1	ESC_KB9756AA_AS	153727	136217	136217	136217	4252	4252	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3363AA	FH139	SRR8733866;ILLUMINA;Paired;;SRX5526730	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104401	SRS4493290	2020-05-01	2020-04-10	ESC_RA3363AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	128	253393	5162434	Escherichia coli / Shigella;100.0%	92	9191	4.1	ESC_KB9754AA_AS	153723	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_AB1192AA	FH14	traces-0vSfLjJ;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-16	2023-06-23	ESC_AB1192AA	O16	H32	1286	ST10 Cplx	A	ND	Assembled	81	128159	5031900	Escherichia coli / Shigella;94.49%	158	38356	4.1	ESC_DC5500AA_AS	228146	199468	199468	199468	199468	199468	199468	199468	199468	199468	9083	13	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	-138849	ND
ESC_RA3386AA	FH140	SRR8733889;ILLUMINA;Paired;;SRX5526707	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104402	SRS4493267	2020-05-01	2020-04-10	ESC_RA3386AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	141	314673	5161767	Escherichia coli / Shigella;100.0%	92	10865	4.1	ESC_KB9718AA_AS	153640	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3387AA	FH141	SRR8733890;ILLUMINA;Paired;;SRX5526706	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104403	SRS4493266	2020-05-01	2020-04-10	ESC_RA3387AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	195	244667	5163078	Escherichia coli / Shigella;100.0%	98	9811	4.1	ESC_KB9717AA_AS	153641	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3346AA	FH142	SRR8733849;ILLUMINA;Paired;;SRX5526747	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104404	SRS4493307	2020-05-01	2020-04-10	ESC_RA3346AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	173	244667	5162462	Escherichia coli / Shigella;100.0%	99	9431	4.1	ESC_KB9771AA_AS	153709	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_AB1291AA	FH143	traces-0WJeHrh;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-17	2023-06-24	ESC_AB1291AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	81	205053	5155640	Escherichia coli / Shigella;100.0%	106	19833	4.1	ESC_DC5516AA_AS	228161	199482	199482	199482	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_ZA5723AA	FH144	traces-0CQvaRE;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-08	2023-06-15	ESC_ZA5723AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	77	272465	5150762	Escherichia coli / Shigella;100.0%	102	13918	4.1	ESC_DC3795AA_AS	226654	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_AB0992AA	FH145	traces-0AjlFjL;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0992AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	77	204354	5152372	Escherichia coli / Shigella;98.61%	115	14755	4.1	ESC_DC5446AA_AS	228096	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3345AA	FH146	SRR8733848;ILLUMINA;Paired;;SRX5526748	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104405	SRS4493308	2020-05-01	2020-04-10	ESC_RA3345AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	114	244667	5203508	Escherichia coli / Shigella;98.3%	101	10558	4.1	ESC_KB9772AA_AS	153711	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3348AA	FH147	SRR8733851;ILLUMINA;Paired;;SRX5526745	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104406	SRS4493305	2020-05-01	2020-04-10	ESC_RA3348AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	163	315958	5162041	Escherichia coli / Shigella;100.0%	95	11163	4.1	ESC_KB9769AA_AS	153712	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3347AA	FH148	SRR8733850;ILLUMINA;Paired;;SRX5526746	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104407	SRS4493306	2020-05-01	2020-04-10	ESC_RA3347AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	174	244667	5163591	Escherichia coli / Shigella;100.0%	103	10221	4.1	ESC_KB9770AA_AS	153708	136223	136223	136223	136223	136223	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3367AA	FH149	SRR8733870;ILLUMINA;Paired;;SRX5526726	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104408	SRS4493286	2020-05-01	2020-04-10	ESC_RA3367AA	O111	H4	155	ST155 Cplx	B1	ND	Assembled	187	120892	4851125	Escherichia coli / Shigella;100.0%	110	18794	4.1	ESC_KB9737AA_AS	153621	136211	136211	136211	136211	136211	136211	2297	2297	1157	106	106	5	2	1	B1	B1	fimH366	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_RA3408AA	FH15	SRR8733911;ILLUMINA;Paired;;SRX5526685	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104350	SRS4493245	2020-05-01	2020-04-10	ESC_RA3408AA	O116	H16	1818	ND	AxB1	ND	Assembled	126	80630	5461671	Escherichia coli / Shigella;98.49%	298	98513	4.1	ESC_KB9696AA_AS	153664	136235	136235	136233	136233	136233	136233	136233	136233	136233	3593	3593	5	2	1	A	A	fimH86	-	-	-	-	-	-	-	-	33377	Escherichia/Shigella sp.
ESC_RA3365AA	FH150	SRR8733868;ILLUMINA;Paired;;SRX5526728	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104409	SRS4493288	2020-05-01	2020-04-10	ESC_RA3365AA	O111	H4	155	ST155 Cplx	B1	ND	Assembled	140	118336	4851557	Escherichia coli / Shigella;98.95%	116	16666	4.1	ESC_KB9752AA_AS	153729	136211	136211	136211	136211	136211	136211	2297	2297	1157	106	106	5	2	1	B1	B1	fimH366	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_ZA0417AA	FH151	traces-0kPnZGA;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-07	2023-04-14	ESC_ZA0417AA	O71	H4	117	ND	ABD	ND	Assembled	98	122937	5176144	Escherichia coli / Shigella;98.25%	151	41389	4.1	ESC_CC8020AA_AS	221966	193831	193831	193831	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_AB1005AA	FH152	traces-0iWsPKZ;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB1005AA	O71	H4	117	ND	ABD	ND	Assembled	84	125690	5150892	Escherichia coli / Shigella;97.6%	144	43907	4.1	ESC_DC5459AA_AS	228107	199452	199452	193831	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_ZA0343AA	FH153	traces-0RNXPat;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-06	2023-04-13	ESC_ZA0343AA	O88	H38	1137	ST10 Cplx	A	ND	Assembled	92	125680	4888260	Escherichia coli / Shigella;96.23%	162	31935	4.1	ESC_CC7943AA_AS	221897	193764	193764	193764	193764	193764	193764	193764	193764	9298	605	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	1687	Escherichia coli
ESC_ZA0410AA	FH154	traces-0nHRlWo;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-07	2023-04-14	ESC_ZA0410AA	O71	H4	117	ND	ABD	ND	Assembled	93	137348	5024608	Escherichia coli / Shigella;98.19%	158	36772	4.1	ESC_CC8013AA_AS	221946	193811	193811	193811	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_AB0988AA	FH155	traces-0DzyLDg;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0988AA	O71	H4	117	ND	ABD	ND	Assembled	92	148683	5026582	Escherichia coli / Shigella;97.18%	159	36898	4.1	ESC_DC5442AA_AS	228093	199445	199445	193811	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_AB0985AA	FH156	traces-0yueklN;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0985AA	O71	H4	117	ND	ABD	ND	Assembled	87	124905	5087111	Escherichia coli / Shigella;99.1%	147	37249	4.1	ESC_DC5439AA_AS	228090	199443	199443	193809	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_ZA5720AA	FH157	traces-0tGGsec;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-08	2023-06-15	ESC_ZA5720AA	O24	H4	117	ND	ABD	ND	Assembled	98	203645	4963541	Escherichia coli / Shigella;98.67%	102	33590	4.1	ESC_DC3792AA_AS	226651	198058	198058	136214	136214	136214	136214	50	50	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_ZA0341AA	FH158	traces-0cUxruC;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-06	2023-04-13	ESC_ZA0341AA	O24	H4	117	ND	ABD	ND	Assembled	88	205369	4964407	Escherichia coli / Shigella;98.69%	105	36680	4.1	ESC_CC7941AA_AS	221896	193762	193762	136214	136214	136214	136214	50	50	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_AB1188AA	FH159	traces-0lMgBth;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-16	2023-06-23	ESC_AB1188AA	O24	H4	117	ND	ABD	ND	Assembled	86	229502	4976475	Escherichia coli / Shigella;98.51%	96	35679	4.1	ESC_DC5496AA_AS	228142	136214	136214	136214	136214	136214	136214	50	50	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_RA3409AA	FH16	SRR8733912;ILLUMINA;Paired;;SRX5526684	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104351	SRS4493244	2020-05-01	2020-04-10	ESC_RA3409AA	O116	H16	1818	ND	AxB1	ND	Assembled	169	81577	5461009	Escherichia coli / Shigella;95.46%	293	99190	4.1	ESC_KB9695AA_AS	153657	136235	136235	136233	136233	136233	136233	136233	136233	136233	3593	3593	5	2	1	A	A	fimH86	-	-	-	-	-	-	-	-	33377	Escherichia/Shigella sp.
ESC_AB0977AA	FH160	traces-0iYRxFM;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0977AA	O24	H4	117	ND	ABD	ND	Assembled	85	194866	4960001	Escherichia coli / Shigella;97.25%	96	29897	4.1	ESC_DC5431AA_AS	228081	199436	199436	136214	136214	136214	136214	50	50	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_AB1293AA	FH161	traces-0scFOke;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-17	2023-06-24	ESC_AB1293AA	O71	H4	117	ND	ABD	ND	Assembled	88	122747	5024831	Escherichia coli / Shigella;98.17%	147	34548	4.1	ESC_DC5518AA_AS	228160	199481	193811	193811	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_AB0993AA	FH162	traces-0LkSznw;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0993AA	O71	H4	117	ND	ABD	ND	Assembled	130	152219	5007957	Escherichia coli / Shigella;97.28%	125	33413	4.1	ESC_DC5447AA_AS	228098	199447	199447	193811	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_ZA0401AA	FH163	traces-0xWeSFv;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-07	2023-04-14	ESC_ZA0401AA	O71	H4	117	ND	ABD	ND	Assembled	88	133171	5180216	Escherichia coli / Shigella;96.87%	183	40751	4.1	ESC_CC8004AA_AS	221962	193827	193827	193827	193765	193765	193765	193765	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
ESC_ZA0345AA	FH164	traces-0WSTsCJ;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-06	2023-04-13	ESC_ZA0345AA	O88	H8	101	ST101 Cplx	B1	ND	Assembled	102	196550	4957182	Escherichia coli / Shigella;100.0%	97	123786	4.1	ESC_CC7945AA_AS	221895	193763	193763	193763	193763	193763	193763	192516	6677	164	164	80	5	2	1	B1	B1	fimH86	-	-	-	-	-	-	-	-	1588	Escherichia coli
ESC_ZA5955AA	FH165	traces-0rkVNrE;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-09	2023-06-16	ESC_ZA5955AA	O88	H8	101	ST101 Cplx	B1	ND	Assembled	83	209853	4956147	Escherichia coli / Shigella;98.63%	87	73362	4.1	ESC_DC3840AA_AS	227176	193763	193763	193763	193763	193763	193763	192516	6677	164	164	80	5	2	1	B1	B1	fimH86	-	-	-	-	-	-	-	-	1588	Escherichia coli
